Regulateur,Tr,Ts,Mp,Ess,ValeurFinale,Peak
P,NaN,NaN,0,32.3952391647897,0.676047608352103,0.68937419974194
PI,1.13834513409426,4.57819907667903,35.5490868222685,0.947576586382248,1.00947576586382,1.35549086822268
PID,0.881241274308855,4.15483852241464,32.8097952226549,0.958617184669497,1.00958617184669,1.32809795222655
