Controller,Kp_values,Ki_values,Kd_values,RiseTime,SettlingTime,Overshoot,SteadyStateError,CostFunction
Manual PID,10,10,0.1,2.53230532242568,5.30321647257094,0,0.00116006968412563,5.19552157916124
PID Tuner,21.23,36.03,1.815,0.616135034366988,1.06780560800947,0.0346137787564649,5.78987968680167e-11,1.15176943544148
Optimized PID,27.323404111292,46.4528162625848,0.00100000001552466,0.296745332442296,0.444613737627539,1.85501870441647,8.49379344636247e-09,0.611831978822854
